year,country,industry,action,asset,data_type,data_stolen
2012,GB,92,['error'],M - Flash drive,['Unknown'],Potentially
2012,US,611310,"['hacking', 'physical']",S - Web application,['Credentials'],Yes
2018,US,622110,['hacking'],S - Mail,['Medical'],Yes
2013,US,541213,['misuse'],Unknown,[],
2011,US,622110,['error'],S - Web application,['Medical'],Yes
2011,NZ,517110,['unknown'],S - Database,"['Credentials', 'Personal']",Yes
2013,US,921110,['hacking'],S - Web application,['Personal'],Yes
2014,US,51,['hacking'],S - Web application,[],
2016,US,921110,['error'],S - Database,['Personal'],Yes
2013,US,523999,['error'],U - Desktop,['Personal'],Yes
2010,US,423450,['physical'],U - Laptop,['Medical'],Potentially
2015,AU,54133,['error'],S - Web application,['Medical'],Potentially
2016,UM,621111,['physical'],M - Documents,['Medical'],Yes
2018,US,541,['error'],S - Database,['Personal'],Yes
2013,US,622110,['misuse'],S - Mail,['Medical'],Potentially
2012,US,923140,['misuse'],S - Database,['Unknown'],Yes
2013,GB,522110,['misuse'],M - Payment card,[],
2015,US,518210,['hacking'],S - Web application,"['Credentials', 'Personal']",Yes
2020,CY,518210,['error'],S - Database,['Personal'],Yes
2013,US,621610,['physical'],U - Laptop,['Medical'],Potentially
2025,US,445110,['hacking'],S - Web application,['Unknown'],Yes
2013,GE,922,"['hacking', 'malware', 'social']",U - Desktop,"['Internal', 'Unknown', 'System', 'Secrets']",Yes
2014,US,532490,['hacking'],U - Unknown,[],
2020,US,522390,['unknown'],S - Unknown,['Personal'],Yes
2016,US,921110,['hacking'],S - Web application,['Unknown'],Potentially
2015,US,541712,['error'],S - Web application,['Medical'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Yes
2010,US,621111,['physical'],U - Laptop,['Medical'],Potentially
2012,US,524113,['physical'],U - Laptop,"['Credentials', 'Personal']",Potentially
2012,US,523140,['hacking'],S - Database,['Personal'],Yes
2016,US,622310,['physical'],U - Laptop,['Personal'],Potentially
2011,US,923140,['misuse'],S - Database,['Unknown'],Yes
2016,US,923120,['error'],S - Web application,['Medical'],Yes
2014,US,928110,['physical'],U - Laptop,['Unknown'],Potentially
2014,US,622110,['physical'],U - Laptop,['Medical'],Potentially
2011,GB,921120,['error'],M - Documents,['Personal'],Yes
2019,US,524114,['hacking'],S - Mail,['Medical'],Yes
2015,US,923140,['error'],M - Documents,['Unknown'],Yes
2015,US,621111,"['malware', 'social']",S - Mail,['Personal'],Yes
2013,US,611310,['hacking'],S - Web application,[],
2017,GB,92,['error'],M - Documents,['Classified'],Yes
2015,GB,611310,['error'],M - Documents,['Medical'],Yes
2013,US,922120,['misuse'],S - Database,['Personal'],Yes
2007,GB,813410,['misuse'],U - Desktop,['Medical'],Potentially
2004,TL,922,['physical'],P - Unknown,['Internal'],Yes
2013,US,22111,['hacking'],S - Database,"['Bank', 'Personal']",Yes
2013,DE,517110,['hacking'],S - Database,[],
2010,US,621111,['physical'],U - Desktop,['Medical'],Potentially
2016,US,621410,['error'],M - Documents,['Personal'],Potentially
2014,US,621999,['error'],M - Documents,['Medical'],Yes
2013,US,624190,['error'],M - Documents,['Personal'],Yes
2011,US,621491,['misuse'],S - Unknown,['Personal'],Yes
2009,US,721110,['misuse'],S - Database,['Personal'],Yes
2012,US,622110,['physical'],U - Desktop,"['Medical', 'Personal']",Potentially
2012,US,621511,['misuse'],S - Database,['Personal'],Yes
2013,US,000,['error'],S - Backup,['Personal'],Unknown
2016,US,622110,['error'],S - Web application,['Personal'],Yes
2012,US,611310,['error'],M - Documents,['Personal'],Yes
2013,US,000,['hacking'],S - Web application,[],
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2010,US,524113,['physical'],M - Disk media,['Medical'],Potentially
2012,PY,519130,['hacking'],S - Web application,['Unknown'],Yes
